City,Constituency,Votes,Option
"Espluga de Francolí, l'",Tarragona,234,C's
"Espluga de Francolí, l'",Tarragona,171,PSC
"Espluga de Francolí, l'",Tarragona,117,CUP
"Espluga de Francolí, l'",Tarragona,65,PP
"Espluga de Francolí, l'",Tarragona,65,CatComú-Podem
"Espluga de Francolí, l'",Tarragona,10,PACMA
"Espluga de Francolí, l'",Tarragona,1,RECORTES CERO-GRUPO VERDE
Duesaigües,Tarragona,1,Votos nulos
Duesaigües,Tarragona,1,Votos en blanco
Duesaigües,Tarragona,54,JUNTSxCAT
Duesaigües,Tarragona,52,ERC-CatSí
Duesaigües,Tarragona,23,CUP
Duesaigües,Tarragona,13,C's
Duesaigües,Tarragona,11,PSC
Duesaigües,Tarragona,8,CatComú-Podem
Duesaigües,Tarragona,6,PP
Duesaigües,Tarragona,1,PACMA
Deltebre,Tarragona,2148,Abstención
Cunit,Tarragona,2128,Abstención
Creixell,Tarragona,623,Abstención
Deltebre,Tarragona,47,Votos nulos
Deltebre,Tarragona,47,Votos en blanco
Deltebre,Tarragona,2329,ERC-CatSí
Deltebre,Tarragona,2274,JUNTSxCAT
Deltebre,Tarragona,680,C's
Deltebre,Tarragona,434,PSC
Deltebre,Tarragona,316,PP
Deltebre,Tarragona,212,CatComú-Podem
Deltebre,Tarragona,210,CUP
Deltebre,Tarragona,14,PACMA
Deltebre,Tarragona,10,RECORTES CERO-GRUPO VERDE
Cornudella de Montsant,Tarragona,73,Abstención
Corbera d'Ebre,Tarragona,127,Abstención
Cunit,Tarragona,89,Votos nulos
Cunit,Tarragona,17,Votos en blanco
Cunit,Tarragona,2392,C's
Cunit,Tarragona,1169,PSC
Cunit,Tarragona,1088,ERC-CatSí
Cunit,Tarragona,698,JUNTSxCAT
Cunit,Tarragona,538,CatComú-Podem
Cunit,Tarragona,317,PP
Cunit,Tarragona,175,CUP
Cunit,Tarragona,72,PACMA
Cunit,Tarragona,20,RECORTES CERO-GRUPO VERDE
Constantí,Tarragona,998,Abstención
Creixell,Tarragona,8,Votos nulos
Creixell,Tarragona,5,Votos en blanco
Creixell,Tarragona,632,C's
Creixell,Tarragona,373,ERC-CatSí
Creixell,Tarragona,318,JUNTSxCAT
Creixell,Tarragona,264,PSC
Creixell,Tarragona,133,CatComú-Podem
Creixell,Tarragona,112,PP
Creixell,Tarragona,42,CUP
Creixell,Tarragona,16,PACMA
Creixell,Tarragona,1,RECORTES CERO-GRUPO VERDE
Conesa,Tarragona,10,Abstención
Cornudella de Montsant,Tarragona,1,Votos nulos
Cornudella de Montsant,Tarragona,1,Votos en blanco
Cornudella de Montsant,Tarragona,268,ERC-CatSí
Cornudella de Montsant,Tarragona,229,JUNTSxCAT
Cornudella de Montsant,Tarragona,63,CUP
Cornudella de Montsant,Tarragona,40,C's
Cornudella de Montsant,Tarragona,21,PSC
Cornudella de Montsant,Tarragona,18,CatComú-Podem
Cornudella de Montsant,Tarragona,11,PP
Cornudella de Montsant,Tarragona,3,PACMA
Cornudella de Montsant,Tarragona,1,RECORTES CERO-GRUPO VERDE
Colldejou,Tarragona,12,Abstención
Corbera d'Ebre,Tarragona,7,Votos nulos
Corbera d'Ebre,Tarragona,5,Votos en blanco
Corbera d'Ebre,Tarragona,202,ERC-CatSí
Corbera d'Ebre,Tarragona,161,JUNTSxCAT
Corbera d'Ebre,Tarragona,97,C's
Corbera d'Ebre,Tarragona,58,PSC
Corbera d'Ebre,Tarragona,50,PP
Corbera d'Ebre,Tarragona,33,CatComú-Podem
Corbera d'Ebre,Tarragona,26,CUP
Corbera d'Ebre,Tarragona,8,PACMA
Corbera d'Ebre,Tarragona,1,RECORTES CERO-GRUPO VERDE
Constantí,Tarragona,17,Votos nulos
Constantí,Tarragona,23,Votos en blanco
Constantí,Tarragona,1195,C's
Constantí,Tarragona,579,PSC
Constantí,Tarragona,570,ERC-CatSí
Constantí,Tarragona,361,JUNTSxCAT
Constantí,Tarragona,177,PP
Constantí,Tarragona,157,CatComú-Podem
Constantí,Tarragona,73,CUP
Constantí,Tarragona,27,PACMA
Constantí,Tarragona,5,RECORTES CERO-GRUPO VERDE
Conesa,Tarragona,4,Votos en blanco
Conesa,Tarragona,31,JUNTSxCAT
Conesa,Tarragona,27,ERC-CatSí
Conesa,Tarragona,10,CUP
Conesa,Tarragona,5,C's
Conesa,Tarragona,4,CatComú-Podem
Conesa,Tarragona,2,PSC
"Catllar, el",Tarragona,517,Abstención
Colldejou,Tarragona,61,JUNTSxCAT
Colldejou,Tarragona,43,ERC-CatSí
Colldejou,Tarragona,10,CUP
Colldejou,Tarragona,7,C's
Colldejou,Tarragona,6,CatComú-Podem
Colldejou,Tarragona,4,PSC
Colldejou,Tarragona,2,PP
Castellvell del Camp,Tarragona,256,Abstención
Caseres,Tarragona,42,Abstención
Capçanes,Tarragona,23,Abstención
Capafonts,Tarragona,10,Abstención
"Catllar, el",Tarragona,7,Votos nulos
"Catllar, el",Tarragona,13,Votos en blanco
"Catllar, el",Tarragona,802,C's
"Catllar, el",Tarragona,580,ERC-CatSí
"Catllar, el",Tarragona,492,JUNTSxCAT
"Catllar, el",Tarragona,344,PSC
"Catllar, el",Tarragona,182,CatComú-Podem
"Catllar, el",Tarragona,135,CUP
"Catllar, el",Tarragona,68,PP
"Catllar, el",Tarragona,30,PACMA
"Catllar, el",Tarragona,6,RECORTES CERO-GRUPO VERDE
Calafell,Tarragona,4227,Abstención
Castellvell del Camp,Tarragona,3,Votos nulos
Castellvell del Camp,Tarragona,14,Votos en blanco
Castellvell del Camp,Tarragona,600,JUNTSxCAT
Castellvell del Camp,Tarragona,523,ERC-CatSí
Castellvell del Camp,Tarragona,416,C's
Castellvell del Camp,Tarragona,155,PSC
Castellvell del Camp,Tarragona,78,CUP
Castellvell del Camp,Tarragona,65,CatComú-Podem
Castellvell del Camp,Tarragona,45,PP
Castellvell del Camp,Tarragona,9,PACMA
Castellvell del Camp,Tarragona,2,RECORTES CERO-GRUPO VERDE
Caseres,Tarragona,1,Votos en blanco
Caseres,Tarragona,49,ERC-CatSí
Caseres,Tarragona,33,C's
Caseres,Tarragona,25,PSC
Caseres,Tarragona,24,JUNTSxCAT
Caseres,Tarragona,21,PP
Caseres,Tarragona,9,CatComú-Podem
Caseres,Tarragona,4,CUP
Caseres,Tarragona,1,RECORTES CERO-GRUPO VERDE
"Canonja, la",Tarragona,763,Abstención
Capçanes,Tarragona,1,Votos nulos
Capçanes,Tarragona,2,Votos en blanco
Capçanes,Tarragona,109,ERC-CatSí
Capçanes,Tarragona,107,JUNTSxCAT
Capçanes,Tarragona,34,CUP
Capçanes,Tarragona,13,PP
Capçanes,Tarragona,13,CatComú-Podem
Capçanes,Tarragona,12,C's
Capçanes,Tarragona,10,PSC
Capçanes,Tarragona,1,PACMA
Cambrils,Tarragona,4297,Abstención
Capafonts,Tarragona,30,ERC-CatSí
Capafonts,Tarragona,24,JUNTSxCAT
Capafonts,Tarragona,11,CUP
Capafonts,Tarragona,9,C's
Capafonts,Tarragona,3,PSC
Capafonts,Tarragona,2,CatComú-Podem
Camarles,Tarragona,540,Abstención
Calafell,Tarragona,108,Votos nulos
Calafell,Tarragona,56,Votos en blanco
Calafell,Tarragona,4080,C's
Calafell,Tarragona,2563,ERC-CatSí
Calafell,Tarragona,2040,JUNTSxCAT
Calafell,Tarragona,1951,PSC
Calafell,Tarragona,888,CatComú-Podem
Calafell,Tarragona,689,PP
Calafell,Tarragona,383,CUP
Calafell,Tarragona,167,PACMA
Calafell,Tarragona,30,RECORTES CERO-GRUPO VERDE
Cabacés,Tarragona,23,Abstención
Bràfim,Tarragona,68,Abstención
"Canonja, la",Tarragona,8,Votos nulos
"Canonja, la",Tarragona,11,Votos en blanco
"Canonja, la",Tarragona,1511,C's
"Canonja, la",Tarragona,786,PSC
"Canonja, la",Tarragona,368,ERC-CatSí
"Canonja, la",Tarragona,346,JUNTSxCAT
"Canonja, la",Tarragona,235,CatComú-Podem
"Canonja, la",Tarragona,179,PP
"Canonja, la",Tarragona,96,CUP
"Canonja, la",Tarragona,54,PACMA
"Canonja, la",Tarragona,9,RECORTES CERO-GRUPO VERDE
Botarell,Tarragona,118,Abstención
Cambrils,Tarragona,76,Votos nulos
Cambrils,Tarragona,58,Votos en blanco
Cambrils,Tarragona,6095,C's
Cambrils,Tarragona,3489,ERC-CatSí
Cambrils,Tarragona,3122,JUNTSxCAT
Cambrils,Tarragona,1981,PSC
Cambrils,Tarragona,944,CatComú-Podem
Cambrils,Tarragona,800,PP
Cambrils,Tarragona,532,CUP
Cambrils,Tarragona,135,PACMA
Cambrils,Tarragona,34,RECORTES CERO-GRUPO VERDE
Cervera,Lleida,1072,Abstención
Camarles,Tarragona,8,Votos nulos
Camarles,Tarragona,10,Votos en blanco
Camarles,Tarragona,747,ERC-CatSí
Camarles,Tarragona,523,JUNTSxCAT
Camarles,Tarragona,205,C's
Camarles,Tarragona,153,PSC
Camarles,Tarragona,81,PP
Camarles,Tarragona,50,CatComú-Podem
Camarles,Tarragona,44,CUP
Camarles,Tarragona,5,PACMA
Camarles,Tarragona,1,RECORTES CERO-GRUPO VERDE
Cabra del Camp,Tarragona,209,Abstención
Cava,Lleida,9,Abstención
Cabacés,Tarragona,6,Votos en blanco
Cabacés,Tarragona,93,JUNTSxCAT
Cabacés,Tarragona,63,ERC-CatSí
Cabacés,Tarragona,17,C's
Cabacés,Tarragona,12,CUP
Cabacés,Tarragona,6,PP
Cabacés,Tarragona,6,PSC
Cabacés,Tarragona,6,CatComú-Podem
Cabacés,Tarragona,1,PACMA
Bràfim,Tarragona,2,Votos nulos
Bràfim,Tarragona,3,Votos en blanco
Bràfim,Tarragona,144,JUNTSxCAT
Bràfim,Tarragona,127,ERC-CatSí
Bràfim,Tarragona,58,C's
Bràfim,Tarragona,28,PSC
Bràfim,Tarragona,21,PP
Bràfim,Tarragona,13,CUP
Bràfim,Tarragona,12,CatComú-Podem
Bràfim,Tarragona,3,PACMA
Castellserà,Lleida,94,Abstención
Botarell,Tarragona,2,Votos nulos
Botarell,Tarragona,4,Votos en blanco
Botarell,Tarragona,207,JUNTSxCAT
Botarell,Tarragona,194,ERC-CatSí
Botarell,Tarragona,113,C's
Botarell,Tarragona,54,PSC
Botarell,Tarragona,31,CUP
Botarell,Tarragona,30,CatComú-Podem
Botarell,Tarragona,13,PP
Botarell,Tarragona,5,PACMA
Botarell,Tarragona,2,RECORTES CERO-GRUPO VERDE
Castelló de Farfanya,Lleida,85,Abstención
Cervera,Lleida,22,Votos nulos
Cervera,Lleida,28,Votos en blanco
Cervera,Lleida,1731,JUNTSxCAT
Cervera,Lleida,1185,ERC-CatSí
Cervera,Lleida,783,C's
Cervera,Lleida,365,PSC
Cervera,Lleida,272,CUP
Cervera,Lleida,203,PP
Cervera,Lleida,147,CatComú-Podem
Cervera,Lleida,32,PACMA
Cervera,Lleida,10,PU M+J
Cervera,Lleida,3,RECORTES CERO-GRUPO VERDE
Cabra del Camp,Tarragona,7,Votos nulos
Cabra del Camp,Tarragona,4,Votos en blanco
Cabra del Camp,Tarragona,163,JUNTSxCAT
Cabra del Camp,Tarragona,161,ERC-CatSí
Cabra del Camp,Tarragona,160,C's
Cabra del Camp,Tarragona,62,PSC
Cabra del Camp,Tarragona,34,CUP
Cabra del Camp,Tarragona,28,CatComú-Podem
Cabra del Camp,Tarragona,11,PP
Cabra del Camp,Tarragona,8,PACMA
Cava,Lleida,15,ERC-CatSí
Cava,Lleida,14,JUNTSxCAT
Cava,Lleida,5,CUP
Cava,Lleida,1,PP
Castellserà,Lleida,1,Votos nulos
Castellserà,Lleida,5,Votos en blanco
Castellserà,Lleida,325,JUNTSxCAT
Castellserà,Lleida,222,ERC-CatSí
Castellserà,Lleida,53,C's
Castellserà,Lleida,47,CUP
Castellserà,Lleida,32,PSC
Castellserà,Lleida,18,PP
Castellserà,Lleida,7,CatComú-Podem
Castellserà,Lleida,3,RECORTES CERO-GRUPO VERDE
Castellserà,Lleida,1,PACMA
Castelló de Farfanya,Lleida,1,Votos nulos
Castelló de Farfanya,Lleida,144,JUNTSxCAT
Castelló de Farfanya,Lleida,134,ERC-CatSí
Castelló de Farfanya,Lleida,19,PSC
Castelló de Farfanya,Lleida,17,C's
Castelló de Farfanya,Lleida,15,PP
Castelló de Farfanya,Lleida,12,CUP
Castelló de Farfanya,Lleida,4,CatComú-Podem
Castelló de Farfanya,Lleida,1,PU M+J
Castellnou de Seana,Lleida,81,Abstención
Castelldans,Lleida,133,Abstención
Castellar de la Ribera,Lleida,9,Abstención
Castell de Mur,Lleida,13,Abstención
Canejan,Lleida,18,Abstención
Camarasa,Lleida,113,Abstención
Castellnou de Seana,Lleida,2,Votos nulos
Castellnou de Seana,Lleida,1,Votos en blanco
Castellnou de Seana,Lleida,239,JUNTSxCAT
Castellnou de Seana,Lleida,105,ERC-CatSí
Castellnou de Seana,Lleida,40,C's
Castellnou de Seana,Lleida,26,CUP
Castellnou de Seana,Lleida,22,PSC
Castellnou de Seana,Lleida,11,PP
Castellnou de Seana,Lleida,5,CatComú-Podem
Castellnou de Seana,Lleida,1,PACMA
Castelldans,Lleida,6,Votos nulos
Castelldans,Lleida,4,Votos en blanco
Castelldans,Lleida,187,JUNTSxCAT
Castelldans,Lleida,157,ERC-CatSí
Castelldans,Lleida,94,C's
Castelldans,Lleida,38,PP
Castelldans,Lleida,38,CUP
Castelldans,Lleida,30,PSC
Castelldans,Lleida,21,CatComú-Podem
Castelldans,Lleida,3,PACMA
Castellar de la Ribera,Lleida,55,JUNTSxCAT
Castellar de la Ribera,Lleida,19,ERC-CatSí
Castellar de la Ribera,Lleida,8,CUP
Castellar de la Ribera,Lleida,5,C's
Castellar de la Ribera,Lleida,3,PP
Castellar de la Ribera,Lleida,2,PSC
Cabó,Lleida,20,Abstención
Castell de Mur,Lleida,2,Votos en blanco
Castell de Mur,Lleida,66,JUNTSxCAT
Castell de Mur,Lleida,31,ERC-CatSí
Castell de Mur,Lleida,11,C's
Castell de Mur,Lleida,8,CUP
Castell de Mur,Lleida,6,PSC
Castell de Mur,Lleida,5,CatComú-Podem
Castell de Mur,Lleida,3,PP
Canejan,Lleida,1,Votos en blanco
Canejan,Lleida,15,PSC
Canejan,Lleida,13,JUNTSxCAT
Canejan,Lleida,12,C's
Canejan,Lleida,11,PP
Canejan,Lleida,5,ERC-CatSí
Canejan,Lleida,2,CUP
Canejan,Lleida,1,PACMA
Camarasa,Lleida,1,Votos nulos
Camarasa,Lleida,6,Votos en blanco
Camarasa,Lleida,221,ERC-CatSí
Camarasa,Lleida,212,JUNTSxCAT
Camarasa,Lleida,70,C's
Camarasa,Lleida,37,PSC
Camarasa,Lleida,28,CUP
Camarasa,Lleida,25,CatComú-Podem
Camarasa,Lleida,11,PP
Camarasa,Lleida,1,RECORTES CERO-GRUPO VERDE
Cabanabona,Lleida,22,Abstención
Cabó,Lleida,31,JUNTSxCAT
Cabó,Lleida,17,ERC-CatSí
Cabó,Lleida,7,C's
Cabó,Lleida,3,CUP
Cabó,Lleida,3,PSC
Cabó,Lleida,1,CatComú-Podem
Cabanabona,Lleida,25,JUNTSxCAT
Cabanabona,Lleida,12,ERC-CatSí
Cabanabona,Lleida,5,C's
Cabanabona,Lleida,3,PP
Cabanabona,Lleida,2,PSC
Cabanabona,Lleida,1,CUP
Cabanabona,Lleida,1,PU M+J
Biosca,Lleida,34,Abstención
Benavent de Segrià,Lleida,144,Abstención
Bellvís,Lleida,225,Abstención
Biosca,Lleida,1,Votos nulos
Biosca,Lleida,1,Votos en blanco
Biosca,Lleida,64,JUNTSxCAT
Biosca,Lleida,24,ERC-CatSí
Biosca,Lleida,14,C's
Biosca,Lleida,10,CUP
Biosca,Lleida,6,PSC
Biosca,Lleida,5,PP
Biosca,Lleida,5,CatComú-Podem
Benavent de Segrià,Lleida,1,Votos nulos
Benavent de Segrià,Lleida,5,Votos en blanco
Benavent de Segrià,Lleida,342,JUNTSxCAT
Benavent de Segrià,Lleida,273,ERC-CatSí
Benavent de Segrià,Lleida,134,C's
Benavent de Segrià,Lleida,65,PSC
Benavent de Segrià,Lleida,32,CatComú-Podem
Benavent de Segrià,Lleida,27,CUP
Benavent de Segrià,Lleida,27,PP
Benavent de Segrià,Lleida,5,PACMA
Bellvís,Lleida,8,Votos nulos
Bellvís,Lleida,5,Votos en blanco
Bellvís,Lleida,554,JUNTSxCAT
Bellvís,Lleida,523,ERC-CatSí
Bellvís,Lleida,72,C's
Bellvís,Lleida,58,CUP
Bellvís,Lleida,47,PSC
Bellvís,Lleida,35,PP
Bellvís,Lleida,34,CatComú-Podem
Bellvís,Lleida,3,PACMA
Bellvís,Lleida,1,PU M+J
Bellvís,Lleida,1,RECORTES CERO-GRUPO VERDE
Bovera,Lleida,41,Abstención
Bossòst,Lleida,202,Abstención
Bovera,Lleida,3,Votos en blanco
Bovera,Lleida,109,JUNTSxCAT
Bovera,Lleida,44,ERC-CatSí
Bovera,Lleida,8,CatComú-Podem
Bovera,Lleida,7,PSC
Bovera,Lleida,5,CUP
Bovera,Lleida,5,C's
Bovera,Lleida,2,PP
Bovera,Lleida,1,PACMA
Bovera,Lleida,1,PU M+J
"Borges Blanques, les",Lleida,798,Abstención
"Bòrdes, Es",Lleida,56,Abstención
Bossòst,Lleida,8,Votos nulos
Bossòst,Lleida,5,Votos en blanco
Bossòst,Lleida,254,C's
Bossòst,Lleida,138,PSC
Bossòst,Lleida,74,ERC-CatSí
Bossòst,Lleida,68,JUNTSxCAT
Bossòst,Lleida,49,PP
Bossòst,Lleida,30,CatComú-Podem
Bossòst,Lleida,11,CUP
Bossòst,Lleida,1,PACMA
Bellver de Cerdanya,Lleida,260,Abstención
"Borges Blanques, les",Lleida,6,Votos nulos
"Borges Blanques, les",Lleida,12,Votos en blanco
"Borges Blanques, les",Lleida,1498,JUNTSxCAT
"Borges Blanques, les",Lleida,1053,ERC-CatSí
"Borges Blanques, les",Lleida,376,C's
"Borges Blanques, les",Lleida,194,PSC
"Borges Blanques, les",Lleida,179,CUP
"Borges Blanques, les",Lleida,95,PP
"Borges Blanques, les",Lleida,87,CatComú-Podem
"Borges Blanques, les",Lleida,12,PACMA
"Borges Blanques, les",Lleida,4,PU M+J
"Borges Blanques, les",Lleida,2,RECORTES CERO-GRUPO VERDE
"Bòrdes, Es",Lleida,1,Votos nulos
"Bòrdes, Es",Lleida,45,C's
"Bòrdes, Es",Lleida,30,ERC-CatSí
"Bòrdes, Es",Lleida,26,PSC
"Bòrdes, Es",Lleida,18,JUNTSxCAT
"Bòrdes, Es",Lleida,14,CatComú-Podem
"Bòrdes, Es",Lleida,9,PP
"Bòrdes, Es",Lleida,9,CUP
"Bòrdes, Es",Lleida,2,PACMA
Bellver de Cerdanya,Lleida,6,Votos nulos
Bellver de Cerdanya,Lleida,5,Votos en blanco
Bellver de Cerdanya,Lleida,471,JUNTSxCAT
Bellver de Cerdanya,Lleida,396,ERC-CatSí
Bellver de Cerdanya,Lleida,146,C's
Bellver de Cerdanya,Lleida,85,PSC
Bellver de Cerdanya,Lleida,84,CUP
Bellver de Cerdanya,Lleida,37,CatComú-Podem
Bellver de Cerdanya,Lleida,26,PP
Bellver de Cerdanya,Lleida,6,PACMA
Bellver de Cerdanya,Lleida,1,RECORTES CERO-GRUPO VERDE
Bell-lloc d'Urgell,Lleida,242,Abstención
Bellpuig,Lleida,608,Abstención
Bellmunt d'Urgell,Lleida,23,Abstención
Bellcaire d'Urgell,Lleida,136,Abstención
Bell-lloc d'Urgell,Lleida,10,Votos nulos
Bell-lloc d'Urgell,Lleida,14,Votos en blanco
Bell-lloc d'Urgell,Lleida,496,JUNTSxCAT
Bell-lloc d'Urgell,Lleida,406,ERC-CatSí
Bell-lloc d'Urgell,Lleida,187,C's
Bell-lloc d'Urgell,Lleida,113,PSC
Bell-lloc d'Urgell,Lleida,63,CUP
Bell-lloc d'Urgell,Lleida,60,PP
Bell-lloc d'Urgell,Lleida,48,CatComú-Podem
Bell-lloc d'Urgell,Lleida,5,PACMA
Bell-lloc d'Urgell,Lleida,2,PU M+J
Bellpuig,Lleida,6,Votos nulos
Bellpuig,Lleida,20,Votos en blanco
Bellpuig,Lleida,1065,JUNTSxCAT
Bellpuig,Lleida,795,ERC-CatSí
Bellpuig,Lleida,261,C's
Bellpuig,Lleida,181,CUP
Bellpuig,Lleida,147,PSC
Bellpuig,Lleida,82,CatComú-Podem
Bellpuig,Lleida,74,PP
Bellpuig,Lleida,8,PACMA
Bellpuig,Lleida,4,PU M+J
Bellpuig,Lleida,3,RECORTES CERO-GRUPO VERDE
Bellmunt d'Urgell,Lleida,5,Votos nulos
Bellmunt d'Urgell,Lleida,44,JUNTSxCAT
Bellmunt d'Urgell,Lleida,40,ERC-CatSí
Bellmunt d'Urgell,Lleida,21,C's
Bellmunt d'Urgell,Lleida,11,CUP
Bellmunt d'Urgell,Lleida,4,PSC
Bellmunt d'Urgell,Lleida,3,CatComú-Podem
Bellmunt d'Urgell,Lleida,2,PP
Bellcaire d'Urgell,Lleida,2,Votos nulos
Bellcaire d'Urgell,Lleida,4,Votos en blanco
Bellcaire d'Urgell,Lleida,368,JUNTSxCAT
Bellcaire d'Urgell,Lleida,269,ERC-CatSí
Bellcaire d'Urgell,Lleida,71,C's
Bellcaire d'Urgell,Lleida,54,CUP
Bellcaire d'Urgell,Lleida,42,PSC
Bellcaire d'Urgell,Lleida,29,PP
Bellcaire d'Urgell,Lleida,15,CatComú-Podem
Bellcaire d'Urgell,Lleida,4,PU M+J
Bellcaire d'Urgell,Lleida,3,PACMA
Bellaguarda,Lleida,37,Abstención
Bausen,Lleida,16,Abstención
Bassella,Lleida,19,Abstención
Belianes,Lleida,40,Abstención
Bellaguarda,Lleida,1,Votos nulos
Bellaguarda,Lleida,2,Votos en blanco
Bellaguarda,Lleida,89,JUNTSxCAT
Bellaguarda,Lleida,84,ERC-CatSí
Bellaguarda,Lleida,16,PSC
Bellaguarda,Lleida,12,C's
Bellaguarda,Lleida,11,CUP
Bellaguarda,Lleida,6,CatComú-Podem
Bellaguarda,Lleida,5,PP
Bellaguarda,Lleida,2,RECORTES CERO-GRUPO VERDE
Bausen,Lleida,10,PSC
Bausen,Lleida,9,C's
Bausen,Lleida,7,CUP
Bausen,Lleida,5,PP
Bausen,Lleida,4,ERC-CatSí
Bausen,Lleida,4,JUNTSxCAT
Bausen,Lleida,3,CatComú-Podem
Bausen,Lleida,1,RECORTES CERO-GRUPO VERDE
Bassella,Lleida,1,Votos en blanco
Bassella,Lleida,73,JUNTSxCAT
Bassella,Lleida,39,ERC-CatSí
Bassella,Lleida,27,C's
Bassella,Lleida,9,PP
Bassella,Lleida,7,CUP
Bassella,Lleida,4,PSC
Bassella,Lleida,4,CatComú-Podem
Bassella,Lleida,1,PU M+J
"Baronia de Rialb, la",Lleida,32,Abstención
Belianes,Lleida,139,JUNTSxCAT
Belianes,Lleida,98,ERC-CatSí
Belianes,Lleida,43,CUP
Belianes,Lleida,25,PSC
Belianes,Lleida,24,C's
Belianes,Lleida,22,PP
Belianes,Lleida,14,CatComú-Podem
Belianes,Lleida,1,PU M+J
Barbens,Lleida,92,Abstención
Balaguer,Lleida,2304,Abstención
Orís,Barcelona,25,Abstención
"Baronia de Rialb, la",Lleida,2,Votos nulos
"Baronia de Rialb, la",Lleida,4,Votos en blanco
"Baronia de Rialb, la",Lleida,77,JUNTSxCAT
"Baronia de Rialb, la",Lleida,41,ERC-CatSí
"Baronia de Rialb, la",Lleida,13,CUP
"Baronia de Rialb, la",Lleida,12,C's
"Baronia de Rialb, la",Lleida,11,PP
"Baronia de Rialb, la",Lleida,10,PSC
"Baronia de Rialb, la",Lleida,2,PACMA
"Baronia de Rialb, la",Lleida,2,CatComú-Podem
"Baronia de Rialb, la",Lleida,1,PU M+J
Barbens,Lleida,3,Votos nulos
Barbens,Lleida,3,Votos en blanco
Barbens,Lleida,175,JUNTSxCAT
Barbens,Lleida,133,ERC-CatSí
Barbens,Lleida,45,C's
Barbens,Lleida,45,PSC
Barbens,Lleida,25,CUP
Barbens,Lleida,18,CatComú-Podem
Barbens,Lleida,14,PP
Barbens,Lleida,3,PACMA
Olvan,Barcelona,105,Abstención
Balaguer,Lleida,50,Votos nulos
Balaguer,Lleida,57,Votos en blanco
Balaguer,Lleida,2542,JUNTSxCAT
Balaguer,Lleida,2246,ERC-CatSí
Balaguer,Lleida,1447,C's
Balaguer,Lleida,843,PSC
Balaguer,Lleida,386,PP
Balaguer,Lleida,368,CUP
Balaguer,Lleida,288,CatComú-Podem
Balaguer,Lleida,35,PACMA
Balaguer,Lleida,12,PU M+J
Balaguer,Lleida,10,RECORTES CERO-GRUPO VERDE
Olost,Barcelona,127,Abstención
Orís,Barcelona,2,Votos en blanco
Orís,Barcelona,133,JUNTSxCAT
Orís,Barcelona,36,ERC-CatSí
Orís,Barcelona,21,CUP
Orís,Barcelona,20,C's
Orís,Barcelona,7,CatComú-Podem
Orís,Barcelona,6,PSC
Orís,Barcelona,4,PP
Orís,Barcelona,1,PACMA
Olivella,Barcelona,454,Abstención
Olvan,Barcelona,6,Votos nulos
Olvan,Barcelona,9,Votos en blanco
Olvan,Barcelona,279,JUNTSxCAT
Olvan,Barcelona,163,ERC-CatSí
Olvan,Barcelona,38,CUP
Olvan,Barcelona,37,C's
Olvan,Barcelona,25,PP
Olvan,Barcelona,19,PSC
Olvan,Barcelona,18,CatComú-Podem
Olost,Barcelona,1,Votos nulos
Olost,Barcelona,2,Votos en blanco
Olost,Barcelona,394,JUNTSxCAT
Olost,Barcelona,253,ERC-CatSí
Olost,Barcelona,81,CUP
Olost,Barcelona,76,C's
Olost,Barcelona,22,PP
Olost,Barcelona,22,PSC
Olost,Barcelona,5,CatComú-Podem
Olost,Barcelona,1,RECORTES CERO-GRUPO VERDE
Olesa de Montserrat,Barcelona,2847,Abstención
Olèrdola,Barcelona,374,Abstención
Olivella,Barcelona,10,Votos nulos
Olivella,Barcelona,6,Votos en blanco
Olivella,Barcelona,590,C's
Olivella,Barcelona,403,ERC-CatSí
Olivella,Barcelona,266,PSC
Olivella,Barcelona,233,JUNTSxCAT
Olivella,Barcelona,145,CatComú-Podem
Olivella,Barcelona,98,CUP
Olivella,Barcelona,55,PP
Olivella,Barcelona,20,PACMA
Olivella,Barcelona,7,RECORTES CERO-GRUPO VERDE
Navàs,Barcelona,650,Abstención
Olesa de Bonesvalls,Barcelona,230,Abstención
Olesa de Montserrat,Barcelona,68,Votos nulos
Olesa de Montserrat,Barcelona,53,Votos en blanco
Olesa de Montserrat,Barcelona,3745,C's
Olesa de Montserrat,Barcelona,3549,ERC-CatSí
Olesa de Montserrat,Barcelona,2313,JUNTSxCAT
Olesa de Montserrat,Barcelona,2015,PSC
Olesa de Montserrat,Barcelona,1209,CatComú-Podem
Olesa de Montserrat,Barcelona,678,CUP
Olesa de Montserrat,Barcelona,395,PP
Olesa de Montserrat,Barcelona,219,PACMA
Olesa de Montserrat,Barcelona,40,RECORTES CERO-GRUPO VERDE
Navarcles,Barcelona,716,Abstención
Olèrdola,Barcelona,11,Votos nulos
Olèrdola,Barcelona,12,Votos en blanco
Olèrdola,Barcelona,664,JUNTSxCAT
Olèrdola,Barcelona,560,ERC-CatSí
Olèrdola,Barcelona,431,C's
Olèrdola,Barcelona,228,PSC
Olèrdola,Barcelona,135,CatComú-Podem
Olèrdola,Barcelona,134,CUP
Olèrdola,Barcelona,55,PP
Olèrdola,Barcelona,16,PACMA
Olèrdola,Barcelona,5,RECORTES CERO-GRUPO VERDE
Òdena,Barcelona,432,Abstención
"Nou de Berguedà, la",Barcelona,11,Abstención
Navàs,Barcelona,12,Votos nulos
Navàs,Barcelona,20,Votos en blanco
